area, url, browserDetection, cssprefixes, edge, jslibs, pluginfree
USA, http://zara.com, 0, 1, 1, 1, 1
USA, http://2ememain.be, 0, 1, 1, 1, 1
USA, http://y8.com, 0, 1, 0, 1, 1
USA, http://2dehands.be, 0, 1, 1, 1, 1
USA, http://kbb.com, 0, 1, 1, 1, 1
USA, http://sat.gob.mx, 0, 0, 1, 0, 1
USA, http://asus.com, 1, 0, 1, 1, 1
USA, http://toshiba.com, 0, 0, 1, 1, 1
USA, http://cafe24.com, 0, 1, 1, 1, 1
USA, http://cosme.net, 1, 1, 1, 1, 1
USA, http://match.com, 0, 1, 1, 0, 1
USA, http://tribalwars.com.pt, 1, 1, 1, 1, 1
USA, http://klanlar.org, 1, 1, 1, 1, 1
USA, http://screenname.aol.com, 1, 1, 1, 1, 1
USA, http://hulu.com, 0, 1, 1, 1, 1
USA, http://sahibinden.com, 1, 1, 1, 1, 1
USA, http://tesco.com, 0, 0, 0, 1, 1
USA, http://pointtown.com, 0, 0, 1, 1, 1
USA, http://anz.com, 0, 1, 1, 0, 1
USA, http://samsung.com, 0, 1, 1, 1, 1
USA, http://seznam.cz, 0, 1, 1, 1, 1
USA, http://creditmutuel.fr, 1, 1, 0, 1, 1
USA, http://msdn.microsoft.com, 1, 1, 1, 1, 1
USA, http://cookpad.com, 0, 0, 1, 1, 1
USA, http://imdb.com, 0, 0, 1, 1, 1
USA, http://dm5.com, 0, 0, 1, 1, 1
USA, http://tabelog.com, 0, 0, 1, 1, 1
USA, http://ruten.com.tw, 1, 1, 0, 1, 1
USA, http://verizonwireless.com, 0, 0, 0, 1, 0
USA, http://2345.com, 0, 1, 0, 1, 1
USA, http://united.com, 0, 1, 1, 0, 1
USA, http://livescore.com, 1, 1, 1, 1, 1
USA, http://laredoute.fr, 0, 0, 0, 1, 1
USA, http://tenki.jp, 0, 0, 1, 1, 1
USA, http://rakuten-sec.co.jp, 0, 1, 1, 1, 1
USA, http://shutterfly.com, 0, 1, 1, 1, 1
USA, http://tnaflix.com, 0, 1, 0, 1, 1
USA, http://barclays.co.uk, 1, 1, 1, 1, 1
USA, http://forever21.com, 0, 1, 0, 0, 1
USA, http://backpage.com, 1, 1, 1, 1, 1
USA, http://beta.realtor.ca, 0, 1, 1, 1, 1
USA, http://carsensor.net, 0, 0, 1, 0, 1
USA, http://imagefap.com, 0, 0, 0, 0, 1
USA, http://agoda.com, 1, 1, 0, 1, 1
USA, http://gumtree.com, 1, 1, 0, 1, 1
USA, http://allstate.com, 0, 1, 1, 1, 1
USA, http://weheartit.com, 0, 0, 1, 1, 1
USA, http://uniqlo.com, 1, 1, 1, 1, 1
USA, http://hsbc.co.uk, 0, 1, 0, 1, 1
USA, http://salesforce.com, 0, 1, 1, 1, 1
USA, http://microsoft.com, 0, 1, 0, 1, 1
USA, http://go.microsoft.com, 0, 1, 0, 1, 1
USA, http://lespac.com, 1, 1, 1, 1, 1
USA, http://etrade.com, 1, 1, 1, 1, 1
USA, http://chosun.com, 0, 1, 0, 1, 1
USA, http://wav.tv, 1, 1, 1, 1, 1
USA, http://moneta.co.kr, 0, 1, 0, 0, 1
USA, http://mundopositivo.com.br, 0, 1, 1, 0, 1
USA, http://arcor.de, 0, 1, 1, 1, 1
USA, http://tripadvisor.co.uk, 0, 0, 1, 1, 1
USA, http://laposte.net, 1, 1, 1, 1, 1
USA, http://eyny.com, 1, 1, 1, 1, 1
USA, http://gendama.jp, 0, 0, 1, 0, 1
USA, http://iqiyi.com, 1, 1, 0, 0, 1
USA, http://marriott.com, 0, 1, 1, 1, 1
USA, http://creatives.livejasmin.com, 1, 1, 1, 1, 1
USA, http://cbssports.com, 0, 0, 1, 0, 1
USA, http://weather.com, 1, 1, 1, 1, 1
USA, http://hurriyet.com.tr, 0, 1, 0, 1, 1
USA, http://qvc.com, 1, 1, 0, 1, 1
USA, http://nk.pl, 0, 1, 1, 1, 1
USA, http://ebay.fr, 0, 1, 1, 1, 1
USA, http://nordstrom.com, 1, 1, 1, 1, 1
USA, http://wp.pl, 0, 1, 0, 1, 1
USA, http://club-t.com, 0, 1, 1, 1, 1
USA, http://goo-net.com, 1, 1, 1, 1, 1
USA, http://ebay.it, 0, 1, 1, 0, 1
USA, http://mapquest.com, 0, 0, 0, 1, 1
